Time,685nm PD1(V),685nm PD2(V),685nm PD3(V),785nm PD1(V),785nm PD2(V),785nm PD3(V),830nm PD1(V),830nm PD2(V),830nm PD3(V),850nm PD1(V),850nm PD2(V),850nm PD3(V),9150nm PD1(V),915nm PD2(V),915nm PD3(V),975nm PD1(V),975nm PD2(V),975nm PD3(V)
0.0,0.10113359985351562,0.5041792831420898,0.05802140808105469,3.730834698486328,8.20830064086914,2.1456869293212892,2.0358633361816407,6.241346658325195,2.0710879760742187,2.1835137634277344,8.402115014648437,2.116952517700195,1.0809955261230468,1.3527719467163086,0.5973442108154297,2.310335760498047,7.994842918395997,2.5308385620117186
1.0,1.7845336120605468,7.772218299865723,2.144581759643555,2.140468341064453,7.488044522094726,2.2390737670898435,2.035169055175781,6.352658967590332,1.9876476654052733,2.1578253662109375,8.276397583007814,2.048984582519531,1.0735898620605469,1.2597934295654296,0.5465064056396484,2.5063544311523436,8.034129615783693,2.529733392333984
2.0,1.784996466064453,7.801028544616699,2.1478972686767577,2.175645245361328,7.391137335205078,2.160606719970703,2.0060092529296876,6.236108432006835,1.9136012969970704,2.1626853332519533,8.186038179016114,2.1628170593261715,1.1448693786621094,1.1105039794921874,0.2680036468505859,2.4452577026367184,8.017105380249024,2.5059722442626953
3.0,1.784996466064453,7.929365089416504,2.1385033264160156,2.083768725585937,7.427804919433593,2.1224783660888673,2.052757507324219,6.28980025177002,2.039038055419922,2.181199493408203,8.391638562011718,2.1059008209228516,1.0768298400878906,1.4274166717529297,0.5846347595214844,2.4114693603515627,7.96472311706543,2.5634410675048827
4.0,1.7859221740722655,7.653048651123048,2.127451629638672,2.147874005126953,7.439590928649903,2.183815283203125,2.036789044189453,6.317300939941406,1.9848847412109374,2.1575939392089842,8.276397583007814,2.042353564453125,1.0587785339355469,1.3069374664306639,0.3995188385009766,2.5003373291015625,8.030200946044921,2.5518367858886717
5.0,1.7863850280761717,7.672691999816895,2.1644748138427734,2.148105432128906,7.468401173400879,2.2064712615966795,2.0354004821777343,6.347420741271972,2.007540719604492,2.1580567932128907,8.276397583007814,2.05506301574707,1.086781201171875,1.3344381546020507,0.6056329833984375,2.5369027954101564,7.924126863098144,2.561783312988281
6.0,1.7868478820800782,7.6910257919311515,2.2059186767578125,2.0937200866699217,7.354469750976563,2.1324248931884764,2.044194708251953,6.247894441223145,2.004777795410156,2.179116650390625,8.38378122253418,2.124688705444336,1.087012628173828,1.3305094848632812,0.5835295898437499,2.3045500854492187,7.9542466644287115,2.5518367858886717
7.0,1.7859221740722655,7.730312489318847,2.1672377380371093,2.1381540710449216,7.3937564483642575,2.2241539764404297,2.034474774169922,6.395874334716797,2.060036279296875,2.1802737854003906,8.318303393554688,2.0909810302734373,1.092566876220703,1.3789630783081055,0.3973084991455078,2.558888360595703,8.027581832885742,2.5656514068603515
8.0,1.7840707580566404,7.71852648010254,2.1296619689941405,2.1469482971191405,7.527331219482422,2.1948669799804685,2.0381776062011716,6.3002767044067385,1.966096856689453,2.12172275390625,8.21877709350586,2.0467742431640623,1.112701025390625,1.1851487045288087,0.35973273010253903,2.4496548156738283,7.931984202575683,2.5402325042724607
9.0,1.7870793090820312,7.71197869720459,2.234100503540039,2.1434768920898435,7.38458955230713,2.1235835357666017,2.0212834350585935,6.143129914855957,1.9810166473388673,2.170322424316406,8.280326252746582,2.1351878173828123,1.110849609375,1.1668149124145508,0.35807497558593754,2.3887895141601563,7.929365089416504,2.58554446105957
